id,nombre,sector,email,emails_extra,telefono,contacto,direccion,sitio_web,lat,lon,prioridad,tamano,actividad,fuentes,ver_estado,ver_motivo,ver_fecha,ver_evidencia,notas
610d0e5229de,100 Bocaditos,Restaurante,,,,,Avenida Las Américas,,4.6293992,-74.1342293,1,Pequeña,Restaurante,base_v3,sin_verificar,,,,
3dd8c0c2097f,12 Millas,Panadería,,,,,Carrera 70B 5-08,,4.6273206,-74.1320234,1,Micro/Pequeña,Panadería,base_v3,sin_verificar,,,,
9ef44b5c0dd4,143 sas automotriz,Taller de carros,,,,,67,,4.7474655,-74.0979972,1,Micro/Pequeña,Taller de carros,base_v3,sin_verificar,,,,
d231f4270d77,1969Gourmet,Comida rápida,,,,,,,4.6314896,-74.0640005,1,Micro/Pequeña,Comida rápida,base_v3,sin_verificar,,,,
043c1fec1d7c,1Acabados es Pinturas,Pinturas,,,,,Autopista Norte - Paralela Occ.,,4.7248671,-74.0513246,1,Micro/Pequeña,Pinturas,base_v3,sin_verificar,,,,
d287476c0054,2 Caminos,Restaurante,,,,,,,4.7054259,-74.2313817,1,Pequeña,Restaurante,base_v3,sin_verificar,,,,
ca7c5f3685c7,2 gatos Taqueria,Restaurante,,,,,,,4.6002918,-74.0690356,1,Pequeña,Restaurante,base_v3,sin_verificar,,,,
137d12328d51,2 Ruedas Taller de Motos,Taller de carros,,,,,Carrera 111C,,4.7034965,-74.1334121,1,Micro/Pequeña,Taller de carros,base_v3,sin_verificar,,,,
325241688e9b,37-25,Carpintería,,,,,,,4.7071468,-74.1002282,1,Micro/Pequeña,Carpintería,base_v3,sin_verificar,,,,
d46a70437d92,3K 3carnes,Restaurante,,,,,Carrera 4,,4.850109,-74.058282,1,Pequeña,Restaurante,base_v3,sin_verificar,,,,
28cd85234e0b,4 Esquinas,Panadería,,,,,,,4.6100853,-74.1915584,1,Micro/Pequeña,Panadería,base_v3,sin_verificar,,,,
511d45f206b5,4 Fieras,Restaurante,,,,,,,4.6981307,-74.0313955,1,Pequeña,Restaurante,base_v3,sin_verificar,,,,
c263ffe0ea64,5àsec,Lavandería en seco,,,,,,,4.6932435,-74.0458707,1,Micro,Lavandería en seco,base_v3,sin_verificar,,,,
8adc7b4ab8fd,83-25,Carpintería,,,,,,,4.7064171,-74.101049,1,Micro/Pequeña,Carpintería,base_v3,sin_verificar,,,,
d969879f18b9,@ picadas,Comida rápida,,,,,,,4.6118968,-74.1940619,1,Micro/Pequeña,Comida rápida,base_v3,sin_verificar,,,,
